TRAIN,source/sorting_line/cam320x240-BLANK-1665133283014.jpeg,BLANK,0.32,0.1,,,0.86,0.82,,
TEST,source/sorting_line/cam320x240-BLANK-1665133283014.jpeg,BLANK,0.32,0.1,,,0.86,0.82,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133283014.jpeg,BLANK,0.32,0.1,,,0.86,0.82,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133285223.jpeg,BLANK,0.25,0.11,,,0.8,0.84,,
TEST,source/sorting_line/cam320x240-BLANK-1665133285223.jpeg,BLANK,0.25,0.11,,,0.8,0.84,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133285223.jpeg,BLANK,0.25,0.11,,,0.8,0.84,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133297370.jpeg,BLANK,0.15,0.08,,,0.7,0.82,,
TEST,source/sorting_line/cam320x240-BLANK-1665133297370.jpeg,BLANK,0.15,0.08,,,0.7,0.82,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133297370.jpeg,BLANK,0.15,0.08,,,0.7,0.82,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133302896.jpeg,BLANK,0.14,0.0,,,0.7,0.68,,
TEST,source/sorting_line/cam320x240-BLANK-1665133302896.jpeg,BLANK,0.14,0.0,,,0.7,0.68,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133302896.jpeg,BLANK,0.14,0.0,,,0.7,0.68,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133321677.jpeg,BLANK,0.19,0.12,,,0.74,0.85,,
TEST,source/sorting_line/cam320x240-BLANK-1665133321677.jpeg,BLANK,0.19,0.12,,,0.74,0.85,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133321677.jpeg,BLANK,0.19,0.12,,,0.74,0.85,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133323891.jpeg,BLANK,0.28,0.1,,,0.83,0.84,,
TEST,source/sorting_line/cam320x240-BLANK-1665133323891.jpeg,BLANK,0.28,0.1,,,0.83,0.84,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133323891.jpeg,BLANK,0.28,0.1,,,0.83,0.84,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133326099.jpeg,BLANK,0.19,0.1,,,0.74,0.82,,
TEST,source/sorting_line/cam320x240-BLANK-1665133326099.jpeg,BLANK,0.19,0.1,,,0.74,0.82,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133326099.jpeg,BLANK,0.19,0.1,,,0.74,0.82,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133348192.jpeg,BLANK,0.15,0.0,,,0.7,0.68,,
TEST,source/sorting_line/cam320x240-BLANK-1665133348192.jpeg,BLANK,0.15,0.0,,,0.7,0.68,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133348192.jpeg,BLANK,0.15,0.0,,,0.7,0.68,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133349298.jpeg,BLANK,0.28,0.1,,,0.83,0.83,,
TEST,source/sorting_line/cam320x240-BLANK-1665133349298.jpeg,BLANK,0.28,0.1,,,0.83,0.83,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133349298.jpeg,BLANK,0.28,0.1,,,0.83,0.83,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133352614.jpeg,BLANK,0.21,0.06,,,0.75,0.78,,
TEST,source/sorting_line/cam320x240-BLANK-1665133352614.jpeg,BLANK,0.21,0.06,,,0.75,0.78,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133352614.jpeg,BLANK,0.21,0.06,,,0.75,0.78,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133375808.jpeg,BLANK,0.25,0.08,,,0.81,0.81,,
TEST,source/sorting_line/cam320x240-BLANK-1665133375808.jpeg,BLANK,0.25,0.08,,,0.81,0.81,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133375808.jpeg,BLANK,0.25,0.08,,,0.81,0.81,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133400117.jpeg,BLANK,0.18,0.04,,,0.73,0.77,,
TEST,source/sorting_line/cam320x240-BLANK-1665133400117.jpeg,BLANK,0.18,0.04,,,0.73,0.77,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133400117.jpeg,BLANK,0.18,0.04,,,0.73,0.77,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133401220.jpeg,BLANK,0.19,0.05,,,0.73,0.78,,
TEST,source/sorting_line/cam320x240-BLANK-1665133401220.jpeg,BLANK,0.19,0.05,,,0.73,0.78,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133401220.jpeg,BLANK,0.19,0.05,,,0.73,0.78,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133402326.jpeg,BLANK,0.39,0.05,,,0.93,0.78,,
TEST,source/sorting_line/cam320x240-BLANK-1665133402326.jpeg,BLANK,0.39,0.05,,,0.93,0.78,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133402326.jpeg,BLANK,0.39,0.05,,,0.93,0.78,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133403431.jpeg,BLANK,0.21,0.05,,,0.75,0.78,,
TEST,source/sorting_line/cam320x240-BLANK-1665133403431.jpeg,BLANK,0.21,0.05,,,0.75,0.78,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133403431.jpeg,BLANK,0.21,0.05,,,0.75,0.78,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133408957.jpeg,BLANK,0.39,0.04,,,0.93,0.77,,
TEST,source/sorting_line/cam320x240-BLANK-1665133408957.jpeg,BLANK,0.39,0.04,,,0.93,0.77,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133408957.jpeg,BLANK,0.39,0.04,,,0.93,0.77,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133410063.jpeg,BLANK,0.33,0.03,,,0.89,0.7,,
TEST,source/sorting_line/cam320x240-BLANK-1665133410063.jpeg,BLANK,0.33,0.03,,,0.89,0.7,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133410063.jpeg,BLANK,0.33,0.03,,,0.89,0.7,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133411167.jpeg,BLANK,0.21,0.04,,,0.75,0.76,,
TEST,source/sorting_line/cam320x240-BLANK-1665133411167.jpeg,BLANK,0.21,0.04,,,0.75,0.76,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133411167.jpeg,BLANK,0.21,0.04,,,0.75,0.76,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133413374.jpeg,BLANK,0.23,0.06,,,0.78,0.78,,
TEST,source/sorting_line/cam320x240-BLANK-1665133413374.jpeg,BLANK,0.23,0.06,,,0.78,0.78,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133413374.jpeg,BLANK,0.23,0.06,,,0.78,0.78,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133422216.jpeg,BLANK,0.2,0.13,,,0.74,0.85,,
TEST,source/sorting_line/cam320x240-BLANK-1665133422216.jpeg,BLANK,0.2,0.13,,,0.74,0.85,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133422216.jpeg,BLANK,0.2,0.13,,,0.74,0.85,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133431065.jpeg,BLANK,0.25,0.11,,,0.8,0.84,,
TEST,source/sorting_line/cam320x240-BLANK-1665133431065.jpeg,BLANK,0.25,0.11,,,0.8,0.84,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133431065.jpeg,BLANK,0.25,0.11,,,0.8,0.84,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133444334.jpeg,BLANK,0.28,0.1,,,0.83,0.83,,
TEST,source/sorting_line/cam320x240-BLANK-1665133444334.jpeg,BLANK,0.28,0.1,,,0.83,0.83,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133444334.jpeg,BLANK,0.28,0.1,,,0.83,0.83,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133463113.jpeg,BLANK,0.15,0.08,,,0.7,0.82,,
TEST,source/sorting_line/cam320x240-BLANK-1665133463113.jpeg,BLANK,0.15,0.08,,,0.7,0.82,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133463113.jpeg,BLANK,0.15,0.08,,,0.7,0.82,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133469748.jpeg,BLANK,0.21,0.03,,,0.76,0.77,,
TEST,source/sorting_line/cam320x240-BLANK-1665133469748.jpeg,BLANK,0.21,0.03,,,0.76,0.77,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133469748.jpeg,BLANK,0.21,0.03,,,0.76,0.77,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133474164.jpeg,BLANK,0.15,0.0,,,0.69,0.68,,
TEST,source/sorting_line/cam320x240-BLANK-1665133474164.jpeg,BLANK,0.15,0.0,,,0.69,0.68,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133474164.jpeg,BLANK,0.15,0.0,,,0.69,0.68,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133478588.jpeg,BLANK,0.26,0.08,,,0.81,0.81,,
TEST,source/sorting_line/cam320x240-BLANK-1665133478588.jpeg,BLANK,0.26,0.08,,,0.81,0.81,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133478588.jpeg,BLANK,0.26,0.08,,,0.81,0.81,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133481901.jpeg,BLANK,0.34,0.0,,,0.89,0.7,,
TEST,source/sorting_line/cam320x240-BLANK-1665133481901.jpeg,BLANK,0.34,0.0,,,0.89,0.7,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133481901.jpeg,BLANK,0.34,0.0,,,0.89,0.7,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133485216.jpeg,BLANK,0.26,0.08,,,0.81,0.81,,
TEST,source/sorting_line/cam320x240-BLANK-1665133485216.jpeg,BLANK,0.26,0.08,,,0.81,0.81,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133485216.jpeg,BLANK,0.26,0.08,,,0.81,0.81,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133526079.jpeg,BLANK,0.2,0.12,,,0.74,0.85,,
TEST,source/sorting_line/cam320x240-BLANK-1665133526079.jpeg,BLANK,0.2,0.12,,,0.74,0.85,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133526079.jpeg,BLANK,0.2,0.12,,,0.74,0.85,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133541544.jpeg,BLANK,0.25,0.11,,,0.8,0.83,,
TEST,source/sorting_line/cam320x240-BLANK-1665133541544.jpeg,BLANK,0.25,0.11,,,0.8,0.83,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133541544.jpeg,BLANK,0.25,0.11,,,0.8,0.83,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133542646.jpeg,BLANK,0.25,0.1,,,0.8,0.83,,
TEST,source/sorting_line/cam320x240-BLANK-1665133542646.jpeg,BLANK,0.25,0.1,,,0.8,0.83,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133542646.jpeg,BLANK,0.25,0.1,,,0.8,0.83,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133548165.jpeg,BLANK,0.2,0.1,,,0.74,0.83,,
TEST,source/sorting_line/cam320x240-BLANK-1665133548165.jpeg,BLANK,0.2,0.1,,,0.74,0.83,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133548165.jpeg,BLANK,0.2,0.1,,,0.74,0.83,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133552587.jpeg,BLANK,0.12,0.22,,,0.68,0.95,,
TEST,source/sorting_line/cam320x240-BLANK-1665133552587.jpeg,BLANK,0.12,0.22,,,0.68,0.95,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133552587.jpeg,BLANK,0.12,0.22,,,0.68,0.95,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133555902.jpeg,BLANK,0.23,0.05,,,0.78,0.78,,
TEST,source/sorting_line/cam320x240-BLANK-1665133555902.jpeg,BLANK,0.23,0.05,,,0.78,0.78,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133555902.jpeg,BLANK,0.23,0.05,,,0.78,0.78,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133557007.jpeg,BLANK,0.34,0.0,,,0.89,0.7,,
TEST,source/sorting_line/cam320x240-BLANK-1665133557007.jpeg,BLANK,0.34,0.0,,,0.89,0.7,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133557007.jpeg,BLANK,0.34,0.0,,,0.89,0.7,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133564743.jpeg,BLANK,0.11,0.0,,,0.65,0.65,,
TEST,source/sorting_line/cam320x240-BLANK-1665133564743.jpeg,BLANK,0.11,0.0,,,0.65,0.65,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133564743.jpeg,BLANK,0.11,0.0,,,0.65,0.65,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133580204.jpeg,BLANK,0.34,0.0,,,0.89,0.7,,
TEST,source/sorting_line/cam320x240-BLANK-1665133580204.jpeg,BLANK,0.34,0.0,,,0.89,0.7,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133580204.jpeg,BLANK,0.34,0.0,,,0.89,0.7,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133581306.jpeg,BLANK,0.2,0.12,,,0.74,0.85,,
TEST,source/sorting_line/cam320x240-BLANK-1665133581306.jpeg,BLANK,0.2,0.12,,,0.74,0.85,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133581306.jpeg,BLANK,0.2,0.12,,,0.74,0.85,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133584616.jpeg,BLANK,0.19,0.12,,,0.74,0.85,,
TEST,source/sorting_line/cam320x240-BLANK-1665133584616.jpeg,BLANK,0.19,0.12,,,0.74,0.85,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133584616.jpeg,BLANK,0.19,0.12,,,0.74,0.85,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133593456.jpeg,BLANK,0.32,0.1,,,0.86,0.83,,
TEST,source/sorting_line/cam320x240-BLANK-1665133593456.jpeg,BLANK,0.32,0.1,,,0.86,0.83,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133593456.jpeg,BLANK,0.32,0.1,,,0.86,0.83,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133596762.jpeg,BLANK,0.15,0.08,,,0.7,0.82,,
TEST,source/sorting_line/cam320x240-BLANK-1665133596762.jpeg,BLANK,0.15,0.08,,,0.7,0.82,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133596762.jpeg,BLANK,0.15,0.08,,,0.7,0.82,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133600079.jpeg,BLANK,0.38,0.05,,,0.93,0.77,,
TEST,source/sorting_line/cam320x240-BLANK-1665133600079.jpeg,BLANK,0.38,0.05,,,0.93,0.77,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133600079.jpeg,BLANK,0.38,0.05,,,0.93,0.77,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133604502.jpeg,BLANK,0.28,0.1,,,0.83,0.83,,
TEST,source/sorting_line/cam320x240-BLANK-1665133604502.jpeg,BLANK,0.28,0.1,,,0.83,0.83,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133604502.jpeg,BLANK,0.28,0.1,,,0.83,0.83,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133610021.jpeg,BLANK,0.32,0.1,,,0.86,0.83,,
TEST,source/sorting_line/cam320x240-BLANK-1665133610021.jpeg,BLANK,0.32,0.1,,,0.86,0.83,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133610021.jpeg,BLANK,0.32,0.1,,,0.86,0.83,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133612226.jpeg,BLANK,0.26,0.08,,,0.8,0.81,,
TEST,source/sorting_line/cam320x240-BLANK-1665133612226.jpeg,BLANK,0.26,0.08,,,0.8,0.81,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133612226.jpeg,BLANK,0.26,0.08,,,0.8,0.81,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133617748.jpeg,BLANK,0.33,0.02,,,0.89,0.7,,
TEST,source/sorting_line/cam320x240-BLANK-1665133617748.jpeg,BLANK,0.33,0.02,,,0.89,0.7,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133617748.jpeg,BLANK,0.33,0.02,,,0.89,0.7,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133622168.jpeg,BLANK,0.23,0.06,,,0.77,0.78,,
TEST,source/sorting_line/cam320x240-BLANK-1665133622168.jpeg,BLANK,0.23,0.06,,,0.77,0.78,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133622168.jpeg,BLANK,0.23,0.06,,,0.77,0.78,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133634310.jpeg,BLANK,0.26,0.1,,,0.8,0.82,,
TEST,source/sorting_line/cam320x240-BLANK-1665133634310.jpeg,BLANK,0.26,0.1,,,0.8,0.82,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133634310.jpeg,BLANK,0.26,0.1,,,0.8,0.82,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133655513.jpeg,BLANK,0.25,0.08,,,0.81,0.81,,
TEST,source/sorting_line/cam320x240-BLANK-1665133655513.jpeg,BLANK,0.25,0.08,,,0.81,0.81,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133655513.jpeg,BLANK,0.25,0.08,,,0.81,0.81,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133659933.jpeg,BLANK,0.34,0.0,,,0.89,0.7,,
TEST,source/sorting_line/cam320x240-BLANK-1665133659933.jpeg,BLANK,0.34,0.0,,,0.89,0.7,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133659933.jpeg,BLANK,0.34,0.0,,,0.89,0.7,,
TRAIN,source/sorting_line/cam320x240-BLANK-1665133676510.jpeg,BLANK,0.12,0.22,,,0.68,0.95,,
TEST,source/sorting_line/cam320x240-BLANK-1665133676510.jpeg,BLANK,0.12,0.22,,,0.68,0.95,,
VALIDATION,source/sorting_line/cam320x240-BLANK-1665133676510.jpeg,BLANK,0.12,0.22,,,0.68,0.95,,
